Block	Trial Number	Task	Condition	Stimulus Text	Stimulus Color	Response	Response Accuracy	RT
Practice	1	Color Name	Neutral	VERMELL	Neutral	2	rm_hit	1022.1
Practice	2	Color Name	Incongruent	VERMELL	GROC	5	rm_incorrect	989.7
Practice	3	Color Name	Neutral	BLAU	Neutral	4	rm_hit	965.4
Practice	4	Color Name	Neutral	BLAU	Neutral	4	rm_hit	876.5
Practice	5	Color Name	Incongruent	GROC	VERD	5	rm_hit	1003.8
Practice	6	Color Name	Neutral	VERD	Neutral	3	rm_hit	783.8
Practice	7	Color Name	Neutral	GROC	Neutral	5	rm_hit	737
Practice	8	Color Name	Incongruent	BLAU	VERD	4	rm_hit	613.4
Practice	9	Color Name	Neutral	GROC	Neutral	5	rm_hit	678.5
Practice	10	Color Name	Neutral	BLAU	Neutral	4	rm_hit	653
Practice	11	Color Name	Incongruent	VERD	GROC	3	rm_hit	1142
Practice	12	Color Name	Incongruent	VERD	BLAU	3	rm_hit	803
Main	1	Color Name	Incongruent	VERD	BLAU	3	rm_hit	707.3
Main	2	Color Name	Neutral	GROC	Neutral	5	rm_hit	764.8
Main	3	Color Name	Incongruent	GROC	VERMELL	5	rm_hit	652.1
Main	4	Color Name	Incongruent	BLAU	GROC	4	rm_hit	688.7
Main	5	Color Name	Incongruent	VERMELL	VERD	2	rm_hit	664
Main	6	Color Name	Incongruent	VERD	VERMELL	3	rm_hit	1265.5
Main	7	Color Name	Neutral	VERMELL	Neutral	2	rm_hit	931.1
Main	8	Color Name	Neutral	GROC	Neutral	5	rm_hit	735.5
Main	9	Color Name	Incongruent	VERD	GROC	3	rm_hit	778.6
Main	10	Color Name	Neutral	VERD	Neutral	3	rm_hit	727.1
Main	11	Color Name	Incongruent	VERMELL	GROC	2	rm_hit	913.9
Main	12	Color Name	Incongruent	BLAU	VERMELL	4	rm_hit	644.8
Main	13	Color Name	Neutral	VERD	Neutral	3	rm_hit	732.6
Main	14	Color Name	Incongruent	VERMELL	BLAU	2	rm_hit	788.5
Main	15	Color Name	Incongruent	GROC	BLAU	5	rm_hit	687.4
Main	16	Color Name	Neutral	BLAU	Neutral	4	rm_hit	912.6
Main	17	Color Name	Neutral	VERMELL	Neutral	2	rm_hit	742.6
Main	18	Color Name	Incongruent	BLAU	VERD	4	rm_hit	1248.4
Main	19	Color Name	Neutral	GROC	Neutral	3	rm_incorrect	1286.3
Main	20	Color Name	Neutral	BLAU	Neutral	4	rm_hit	666.3
Main	21	Color Name	Neutral	BLAU	Neutral	4	rm_hit	679.5
Main	22	Color Name	Neutral	VERMELL	Neutral	2	rm_hit	758.6
Main	23	Color Name	Incongruent	GROC	VERD	5	rm_hit	806
Main	24	Color Name	Neutral	VERD	Neutral	3	rm_hit	692.1
Practice	1	Ink	Incongruent	BLAU	VERD	4	rm_incorrect	1472.6
Practice	2	Ink	Neutral	xxxxx	VERMELL	2	rm_hit	763.9
Practice	3	Ink	Incongruent	GROC	VERD	5	rm_incorrect	946.8
Practice	4	Ink	Incongruent	VERMELL	GROC	5	rm_hit	949.5
Practice	5	Ink	Incongruent	VERD	BLAU	4	rm_hit	926.5
Practice	6	Ink	Neutral	xxxxxx	VERD	3	rm_hit	949.4
Practice	7	Ink	Neutral	xxxxx	GROC	5	rm_hit	766.9
Practice	8	Ink	Incongruent	VERD	GROC	5	rm_hit	899.5
Practice	9	Ink	Neutral	xxxxxx	VERMELL	2	rm_hit	728.5
Practice	10	Ink	Neutral	xxx	GROC	5	rm_hit	731.2
Practice	11	Ink	Neutral	xxxx	GROC	5	rm_hit	577.7
Practice	12	Ink	Neutral	xxxxx	VERD	3	rm_hit	798
Main	1	Ink	Incongruent	VERD	BLAU	4	rm_hit	808.2
Main	2	Ink	Incongruent	BLAU	VERD	4	rm_incorrect	580.9
Main	3	Ink	Incongruent	VERMELL	GROC	5	rm_hit	803.5
Main	4	Ink	Neutral	xxxx	BLAU	4	rm_hit	687.8
Main	5	Ink	Neutral	xxxxx	GROC	5	rm_hit	731.2
Main	6	Ink	Incongruent	VERMELL	VERD	3	rm_hit	920.8
Main	7	Ink	Neutral	xxxxxx	VERMELL	2	rm_hit	738.8
Main	8	Ink	Incongruent	GROC	VERMELL	2	rm_hit	990.2
Main	9	Ink	Incongruent	GROC	BLAU	4	rm_hit	953.2
Main	10	Ink	Neutral	xxxxxx	VERD	3	rm_hit	971.8
Main	11	Ink	Neutral	xxxx	VERMELL	2	rm_hit	691.8
Main	12	Ink	Neutral	xxxxxx	BLAU	4	rm_hit	694.2
Main	13	Ink	Neutral	xxxxx	VERD	3	rm_hit	765.9
Main	14	Ink	Neutral	xxx	VERD	3	rm_hit	613.6
Main	15	Ink	Neutral	xxx	GROC	5	rm_hit	593.9
Main	16	Ink	Incongruent	GROC	VERD	3	rm_hit	707.2
Main	17	Ink	Incongruent	VERMELL	BLAU	4	rm_hit	728.5
Main	18	Ink	Neutral	xxx	BLAU	4	rm_hit	472.2
Main	19	Ink	Neutral	xxxxx	VERMELL	3	rm_incorrect	553.1
Main	20	Ink	Incongruent	VERD	VERMELL	2	rm_hit	860.4
Main	21	Ink	Incongruent	VERD	GROC	5	rm_hit	861.4
Main	22	Ink	Neutral	xxxx	GROC	5	rm_hit	554.6
Main	23	Ink	Incongruent	BLAU	VERMELL	2	rm_hit	986
Main	24	Ink	Incongruent	BLAU	GROC	5	rm_hit	765.6

