Block	Trial Number	Task	Condition	Stimulus Text	Stimulus Color	Response	Response Accuracy	RT
Practice	1	Ink	Neutral	xxx	BLAU	4	rm_hit	3207
Practice	2	Ink	Neutral	xxxx	VERMELL	2	rm_hit	1027.9
Practice	3	Ink	Incongruent	VERMELL	BLAU	4	rm_hit	1103.8
Practice	4	Ink	Incongruent	BLAU	VERMELL	2	rm_hit	607.4
Practice	5	Ink	Incongruent	BLAU	VERD	3	rm_hit	1108.1
Practice	6	Ink	Neutral	xxxxx	VERMELL	2	rm_hit	667.8
Practice	7	Ink	Neutral	xxx	GROC	5	rm_hit	684.6
Practice	8	Ink	Neutral	xxxx	GROC	5	rm_hit	740.3
Practice	9	Ink	Neutral	xxx	VERD	3	rm_hit	662.9
Practice	10	Ink	Incongruent	GROC	BLAU	4	rm_hit	1649.9
Practice	11	Ink	Incongruent	GROC	VERMELL	2	rm_hit	748.5
Practice	12	Ink	Incongruent	VERD	VERMELL	2	rm_hit	987.9
Main	1	Ink	Incongruent	VERD	GROC	5	rm_hit	901.9
Main	2	Ink	Neutral	xxx	VERD	3	rm_hit	900.2
Main	3	Ink	Neutral	xxx	GROC	5	rm_hit	934.2
Main	4	Ink	Neutral	xxxxx	VERMELL	2	rm_hit	755
Main	5	Ink	Neutral	xxx	BLAU	4	rm_hit	703.3
Main	6	Ink	Incongruent	VERD	BLAU	4	rm_hit	818.4
Main	7	Ink	Neutral	xxxx	BLAU	4	rm_hit	1029.2
Main	8	Ink	Neutral	xxxx	VERMELL	2	rm_hit	821.5
Main	9	Ink	Incongruent	BLAU	VERD	3	rm_hit	877.1
Main	10	Ink	Incongruent	GROC	VERMELL	2	rm_hit	839.7
Main	11	Ink	Incongruent	BLAU	GROC	5	rm_hit	732.6
Main	12	Ink	Incongruent	VERMELL	GROC	5	rm_hit	924.6
Main	13	Ink	Incongruent	GROC	VERD	3	rm_hit	932
Main	14	Ink	Neutral	xxxxx	GROC	5	rm_hit	742.3
Main	15	Ink	Incongruent	GROC	BLAU	4	rm_hit	741.8
Main	16	Ink	Neutral	xxxxxx	VERMELL	2	rm_hit	924.8
Main	17	Ink	Neutral	xxxx	GROC	5	rm_hit	864.4
Main	18	Ink	Neutral	xxxxxx	VERD	3	rm_hit	1115.3
Main	19	Ink	Incongruent	VERD	VERMELL	2	rm_hit	1095.8
Main	20	Ink	Neutral	xxxxx	VERD	3	rm_hit	1014.9
Main	21	Ink	Neutral	xxxxxx	BLAU	4	rm_hit	906.6
Main	22	Ink	Incongruent	VERMELL	VERD	3	rm_hit	970
Main	23	Ink	Incongruent	VERMELL	BLAU	4	rm_hit	1168.4
Main	24	Ink	Incongruent	BLAU	VERMELL	2	rm_hit	1168.9
Practice	1	Color Name	Incongruent	BLAU	VERMELL	4	rm_hit	3930.5
Practice	2	Color Name	Neutral	VERD	Neutral	3	rm_hit	1082.2
Practice	3	Color Name	Incongruent	VERMELL	BLAU	2	rm_hit	945.6
Practice	4	Color Name	Neutral	BLAU	Neutral	4	rm_hit	1015.4
Practice	5	Color Name	Neutral	VERD	Neutral	3	rm_hit	963.8
Practice	6	Color Name	Neutral	VERMELL	Neutral	2	rm_hit	1169.4
Practice	7	Color Name	Incongruent	VERD	VERMELL	3	rm_hit	2052.4
Practice	8	Color Name	Incongruent	GROC	VERMELL	5	rm_hit	926.1
Practice	9	Color Name	Neutral	VERMELL	Neutral	2	rm_hit	935.2
Practice	10	Color Name	Incongruent	BLAU	VERD	4	rm_hit	913.6
Practice	11	Color Name	Neutral	VERMELL	Neutral	2	rm_hit	1505.1
Practice	12	Color Name	Incongruent	GROC	BLAU	5	rm_hit	1864.1
Main	1	Color Name	Incongruent	BLAU	VERMELL	4	rm_hit	1795.9
Main	2	Color Name	Neutral	VERMELL	Neutral	2	rm_hit	854.8
Main	3	Color Name	Neutral	VERD	Neutral	3	rm_hit	851.9
Main	4	Color Name	Incongruent	VERD	GROC	3	rm_hit	1482.2
Main	5	Color Name	Neutral	BLAU	Neutral	4	rm_hit	883.3
Main	6	Color Name	Incongruent	VERD	BLAU	3	rm_hit	965.4
Main	7	Color Name	Neutral	VERMELL	Neutral	2	rm_hit	595.6
Main	8	Color Name	Incongruent	VERMELL	BLAU	2	rm_hit	803.5
Main	9	Color Name	Incongruent	VERMELL	GROC	2	rm_hit	1292.7
Main	10	Color Name	Neutral	VERD	Neutral	3	rm_hit	817.4
Main	11	Color Name	Neutral	GROC	Neutral	5	rm_hit	560.6
Main	12	Color Name	Neutral	BLAU	Neutral	4	rm_hit	475.9
Main	13	Color Name	Incongruent	VERD	VERMELL	3	rm_hit	807.8
Main	14	Color Name	Incongruent	BLAU	VERD	4	rm_hit	783.3
Main	15	Color Name	Neutral	GROC	Neutral	5	rm_hit	887.7
Main	16	Color Name	Incongruent	GROC	VERD	5	rm_hit	738
Main	17	Color Name	Incongruent	GROC	VERMELL	5	rm_hit	740.6
Main	18	Color Name	Incongruent	BLAU	GROC	4	rm_hit	811.6
Main	19	Color Name	Neutral	VERD	Neutral	3	rm_hit	787.9
Main	20	Color Name	Neutral	VERMELL	Neutral	2	rm_hit	844.4
Main	21	Color Name	Incongruent	VERMELL	VERD	2	rm_hit	840.8
Main	22	Color Name	Neutral	BLAU	Neutral	4	rm_hit	691.1
Main	23	Color Name	Neutral	GROC	Neutral	5	rm_hit	967.6
Main	24	Color Name	Incongruent	GROC	BLAU	5	rm_hit	1089.4

